key,name,IATACode,website,type,foundationMoment,email,phoneNumber,key:airport
Airline-54,Lorem ipsum dolor sit ame,RLL,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,123456,Airport-01
#phoneNumber
Airline-27,Lorem ipsum dolor sit ame,ABB,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-28,Lorem ipsum dolor sit ame,ACC,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+123456,Airport-01
Airline-29,Lorem ipsum dolor sit ame,ADD,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456789098765,Airport-01
Airline-30,Lorem ipsum dolor sit ame,AEE,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,+123456789098765,Airport-01
Airline-31,Lorem ipsum dolor sit ame,AFF,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,12345689,Airport-01
#airport,"","","","","","","",""
Airline-32,Lorem ipsum dolor sit ame,AGG,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-33,Lorem ipsum dolor sit ame,AHH,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-01
Airline-34,Lorem ipsum dolor sit ame,AII,http://lorem.com/ipsum,LUXURY,2012/07/02 0:00,acme@lorem-ipsum.org,123456,Airport-02
